NAME,MPG,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MODEL_YEAR,ORIGIN
CHEVROLET CHEVELLE MALIBU,18,8,307,130,3504,12,70,USA
BUICK SKYLARK 320,15,8,350,165,3693,11.5,70,USA
PLYMOUTH SATELLITE,18,8,318,150,3436,11,70,USA
AMC REBEL SST,16,8,304,150,3433,12,70,USA
FORD TORINO,17,8,302,140,3449,10.5,70,USA
FORD GALAXIE 500,15,8,429,198,4341,10,70,USA
CHEVROLET IMPALA,14,8,454,220,4354,9,70,USA
PLYMOUTH FURY III,14,8,440,215,4312,8.5,70,USA
PONTIAC CATALINA,14,8,455,225,4425,10,70,USA
AMC AMBASSADOR DPL,15,8,390,190,3850,8.5,70,USA
DODGE CHALLENGER SE,15,8,383,170,3563,10,70,USA
PLYMOUTH 'CUDA 340,14,8,340,160,3609,8,70,USA
CHEVROLET MONTE CARLO,15,8,400,150,3761,9.5,70,USA
BUICK ESTATE WAGON (SW),14,8,455,225,3086,10,70,USA
TOYOTA CORONA MARK II,24,4,113,95,2372,15,70,JAPAN
PLYMOUTH DUSTER,22,6,198,95,2833,15.5,70,USA
AMC HORNET,18,6,199,97,2774,15.5,70,USA
FORD MAVERICK,21,6,200,85,2587,16,70,USA
DATSUN PL510,27,4,97,88,2130,14.5,70,JAPAN
VOLKSWAGEN 1131 DELUXE SEDAN,26,4,97,46,1835,20.5,70,EUROPE
PEUGEOT 504,25,4,110,87,2672,17.5,70,EUROPE
AUDI 100 LS,24,4,107,90,2430,14.5,70,EUROPE
SAAB 99E,25,4,104,95,2375,17.5,70,EUROPE
BMW 2002,26,4,121,113,2234,12.5,70,EUROPE
AMC GREMLIN,21,6,199,90,2648,15,70,USA
FORD F250,10,8,360,215,4615,14,70,USA
CHEVY C20,10,8,307,200,4376,15,70,USA
DODGE D200,11,8,318,210,4382,13.5,70,USA
HI 1200D,9,8,304,193,4732,18.5,70,USA
DATSUN PL510,27,4,97,88,2130,14.5,71,JAPAN
CHEVROLET VEGA 2300,28,4,140,90,2264,15.5,71,USA
TOYOTA CORONA,25,4,113,95,2228,14,71,JAPAN
FORD PINTO,25,4,98,,2046,19,71,USA
AMC GREMLIN,19,6,232,100,2634,13,71,USA
PLYMOUTH SATELLITE CUSTOM,16,6,225,105,3439,15.5,71,USA
CHEVROLET CHEVELLE MALIBU,17,6,250,100,3329,15.5,71,USA
FORD TORINO 500,19,6,250,88,3302,15.5,71,USA
AMC MATADOR,18,6,232,100,3288,15.5,71,USA
CHEVROLET IMPALA,14,8,350,165,4209,12,71,USA
PONTIAC CATALINA BROUGHAM,14,8,400,175,4464,11.5,71,USA
FORD GALAXIE 500,14,8,351,153,4154,13.5,71,USA
PLYMOUTH FURY III,14,8,318,150,4096,13,71,USA
DODGE MONACO (SW),12,8,383,180,4955,11.5,71,USA
FORD COUNTRY SQUIRE (SW),13,8,400,170,4746,12,71,USA
PONTIAC SAFARI (SW),13,8,400,175,5140,12,71,USA
AMC HORNET SPORTABOUT (SW),18,6,258,110,2962,13.5,71,USA
CHEVROLET VEGA (SW),22,4,140,72,2408,19,71,USA
PONTIAC FIREBIRD,19,6,250,100,3282,15,71,USA
FORD MUSTANG,18,6,250,88,3139,14.5,71,USA
MERCURY CAPRI 2000,23,4,122,86,2220,14,71,USA
OPEL 1900,28,4,116,90,2123,14,71,EUROPE
PEUGEOT 304,30,4,79,70,2074,19.5,71,EUROPE
FIAT 124B,30,4,88,76,2065,14.5,71,EUROPE
TOYOTA COROLLA 1200,31,4,71,65,1773,19,71,JAPAN
DATSUN 1200,35,4,72,69,1613,18,71,JAPAN
VOLKSWAGEN MODEL 111,27,4,97,60,1834,19,71,EUROPE
PLYMOUTH CRICKET,26,4,91,70,1955,20.5,71,USA
TOYOTA CORONA HARDTOP,24,4,113,95,2278,15.5,72,JAPAN
DODGE COLT HARDTOP,25,4,97.5,80,2126,17,72,USA
VOLKSWAGEN TYPE 3,23,4,97,54,2254,23.5,72,EUROPE
CHEVROLET VEGA,20,4,140,90,2408,19.5,72,USA
FORD PINTO RUNABOUT,21,4,122,86,2226,16.5,72,USA
CHEVROLET IMPALA,13,8,350,165,4274,12,72,USA
PONTIAC CATALINA,14,8,400,175,4385,12,72,USA
PLYMOUTH FURY III,15,8,318,150,4135,13.5,72,USA
FORD GALAXIE 500,14,8,351,153,4129,13,72,USA
AMC AMBASSADOR SST,17,8,304,150,3672,11.5,72,USA
MERCURY MARQUIS,11,8,429,208,4633,11,72,USA
BUICK LESABRE CUSTOM,13,8,350,155,4502,13.5,72,USA
OLDSMOBILE DELTA 88 ROYALE,12,8,350,160,4456,13.5,72,USA
CHRYSLER NEWPORT ROYAL,13,8,400,190,4422,12.5,72,USA
MAZDA RX2 COUPE,19,3,70,97,2330,13.5,72,JAPAN
AMC MATADOR (SW),15,8,304,150,3892,12.5,72,USA
CHEVROLET CHEVELLE CONCOURS (SW),13,8,307,130,4098,14,72,USA
FORD GRAN TORINO (SW),13,8,302,140,4294,16,72,USA
PLYMOUTH SATELLITE CUSTOM (SW),14,8,318,150,4077,14,72,USA
VOLVO 145E (SW),18,4,121,112,2933,14.5,72,EUROPE
VOLKSWAGEN 411 (SW),22,4,121,76,2511,18,72,EUROPE
PEUGEOT 504 (SW),21,4,120,87,2979,19.5,72,EUROPE
RENAULT 12 (SW),26,4,96,69,2189,18,72,EUROPE
FORD PINTO (SW),22,4,122,86,2395,16,72,USA
DATSUN 510 (SW),28,4,97,92,2288,17,72,JAPAN
TOYOUTA CORONA MARK II (SW),23,4,120,97,2506,14.5,72,JAPAN
DODGE COLT (SW),28,4,98,80,2164,15,72,USA
TOYOTA COROLLA 1600 (SW),27,4,97,88,2100,16.5,72,JAPAN
BUICK CENTURY 350,13,8,350,175,4100,13,73,USA
AMC MATADOR,14,8,304,150,3672,11.5,73,USA
CHEVROLET MALIBU,13,8,350,145,3988,13,73,USA
FORD GRAN TORINO,14,8,302,137,4042,14.5,73,USA
DODGE CORONET CUSTOM,15,8,318,150,3777,12.5,73,USA
MERCURY MARQUIS BROUGHAM,12,8,429,198,4952,11.5,73,USA
CHEVROLET CAPRICE CLASSIC,13,8,400,150,4464,12,73,USA
FORD LTD,13,8,351,158,4363,13,73,USA
PLYMOUTH FURY GRAN SEDAN,14,8,318,150,4237,14.5,73,USA
CHRYSLER NEW YORKER BROUGHAM,13,8,440,215,4735,11,73,USA
BUICK ELECTRA 225 CUSTOM,12,8,455,225,4951,11,73,USA
AMC AMBASSADOR BROUGHAM,13,8,360,175,3821,11,73,USA
PLYMOUTH VALIANT,18,6,225,105,3121,16.5,73,USA
CHEVROLET NOVA CUSTOM,16,6,250,100,3278,18,73,USA
AMC HORNET,18,6,232,100,2945,16,73,USA
FORD MAVERICK,18,6,250,88,3021,16.5,73,USA
PLYMOUTH DUSTER,23,6,198,95,2904,16,73,USA
VOLKSWAGEN SUPER BEETLE,26,4,97,46,1950,21,73,EUROPE
CHEVROLET IMPALA,11,8,400,150,4997,14,73,USA
FORD COUNTRY,12,8,400,167,4906,12.5,73,USA
PLYMOUTH CUSTOM SUBURB,13,8,360,170,4654,13,73,USA
OLDSMOBILE VISTA CRUISER,12,8,350,180,4499,12.5,73,USA
AMC GREMLIN,18,6,232,100,2789,15,73,USA
TOYOTA CARINA,20,4,97,88,2279,19,73,JAPAN
CHEVROLET VEGA,21,4,140,72,2401,19.5,73,USA
DATSUN 610,22,4,108,94,2379,16.5,73,JAPAN
MAXDA RX3,18,3,70,90,2124,13.5,73,JAPAN
FORD PINTO,19,4,122,85,2310,18.5,73,USA
MERCURY CAPRI V6,21,6,155,107,2472,14,73,USA
FIAT 124 SPORT COUPE,26,4,98,90,2265,15.5,73,EUROPE
CHEVROLET MONTE CARLO S,15,8,350,145,4082,13,73,USA
PONTIAC GRAND PRIX,16,8,400,230,4278,9.5,73,USA
FIAT 128,29,4,68,49,1867,19.5,73,EUROPE
OPEL MANTA,24,4,116,75,2158,15.5,73,EUROPE
AUDI 100LS,20,4,114,91,2582,14,73,EUROPE
VOLVO 144EA,19,4,121,112,2868,15.5,73,EUROPE
DODGE DART CUSTOM,15,8,318,150,3399,11,73,USA
SAAB 99LE,24,4,121,110,2660,14,73,EUROPE
TOYOTA MARK II,20,6,156,122,2807,13.5,73,JAPAN
OLDSMOBILE OMEGA,11,8,350,180,3664,11,73,USA
PLYMOUTH DUSTER,20,6,198,95,3102,16.5,74,USA
FORD MAVERICK,21,6,200,,2875,17,74,USA
AMC HORNET,19,6,232,100,2901,16,74,USA
CHEVROLET NOVA,15,6,250,100,3336,17,74,USA
DATSUN B210,31,4,79,67,1950,19,74,JAPAN
FORD PINTO,26,4,122,80,2451,16.5,74,USA
TOYOTA COROLLA 1200,32,4,71,65,1836,21,74,JAPAN
CHEVROLET VEGA,25,4,140,75,2542,17,74,USA
CHEVROLET CHEVELLE MALIBU CLASSIC,16,6,250,100,3781,17,74,USA
AMC MATADOR,16,6,258,110,3632,18,74,USA
PLYMOUTH SATELLITE SEBRING,18,6,225,105,3613,16.5,74,USA
FORD GRAN TORINO,16,8,302,140,4141,14,74,USA
BUICK CENTURY LUXUS (SW),13,8,350,150,4699,14.5,74,USA
DODGE CORONET CUSTOM (SW),14,8,318,150,4457,13.5,74,USA
FORD GRAN TORINO (SW),14,8,302,140,4638,16,74,USA
AMC MATADOR (SW),14,8,304,150,4257,15.5,74,USA
AUDI FOX,29,4,98,83,2219,16.5,74,EUROPE
VOLKSWAGEN DASHER,26,4,79,67,1963,15.5,74,EUROPE
OPEL MANTA,26,4,97,78,2300,14.5,74,EUROPE
TOYOTA CORONA,31,4,76,52,1649,16.5,74,JAPAN
DATSUN 710,32,4,83,61,2003,19,74,JAPAN
DODGE COLT,28,4,90,75,2125,14.5,74,USA
FIAT 128,24,4,90,75,2108,15.5,74,EUROPE
FIAT 124 TC,26,4,116,75,2246,14,74,EUROPE
HONDA CIVIC,24,4,120,97,2489,15,74,JAPAN
SUBARU,26,4,108,93,2391,15.5,74,JAPAN
FIAT X1.9,31,4,79,67,2000,16,74,EUROPE
PLYMOUTH VALIANT CUSTOM,19,6,225,95,3264,16,75,USA
CHEVROLET NOVA,18,6,250,105,3459,16,75,USA
MERCURY MONARCH,15,6,250,72,3432,21,75,USA
FORD MAVERICK,15,6,250,72,3158,19.5,75,USA
PONTIAC CATALINA,16,8,400,170,4668,11.5,75,USA
CHEVROLET BEL AIR,15,8,350,145,4440,14,75,USA
PLYMOUTH GRAND FURY,16,8,318,150,4498,14.5,75,USA
FORD LTD,14,8,351,148,4657,13.5,75,USA
BUICK CENTURY,17,6,231,110,3907,21,75,USA
CHEVROELT CHEVELLE MALIBU,16,6,250,105,3897,18.5,75,USA
AMC MATADOR,15,6,258,110,3730,19,75,USA
PLYMOUTH FURY,18,6,225,95,3785,19,75,USA
BUICK SKYHAWK,21,6,231,110,3039,15,75,USA
CHEVROLET MONZA 2+2,20,8,262,110,3221,13.5,75,USA
FORD MUSTANG II,13,8,302,129,3169,12,75,USA
TOYOTA COROLLA,29,4,97,75,2171,16,75,JAPAN
FORD PINTO,23,4,140,83,2639,17,75,USA
AMC GREMLIN,20,6,232,100,2914,16,75,USA
PONTIAC ASTRO,23,4,140,78,2592,18.5,75,USA
TOYOTA CORONA,24,4,134,96,2702,13.5,75,JAPAN
VOLKSWAGEN DASHER,25,4,90,71,2223,16.5,75,EUROPE
DATSUN 710,24,4,119,97,2545,17,75,JAPAN
FORD PINTO,18,6,171,97,2984,14.5,75,USA
VOLKSWAGEN RABBIT,29,4,90,70,1937,14,75,EUROPE
AMC PACER,19,6,232,90,3211,17,75,USA
AUDI 100LS,23,4,115,95,2694,15,75,EUROPE
PEUGEOT 504,23,4,120,88,2957,17,75,EUROPE
VOLVO 244DL,22,4,121,98,2945,14.5,75,EUROPE
SAAB 99LE,25,4,121,115,2671,13.5,75,EUROPE
HONDA CIVIC CVCC,33,4,91,53,1795,17.5,75,JAPAN
FIAT 131,28,4,107,86,2464,15.5,76,EUROPE
OPEL 1900,25,4,116,81,2220,16.9,76,EUROPE
CAPRI II,25,4,140,92,2572,14.9,76,USA
DODGE COLT,26,4,98,79,2255,17.7,76,USA
RENAULT 12TL,27,4,101,83,2202,15.3,76,EUROPE
CHEVROLET CHEVELLE MALIBU CLASSIC,17.5,8,305,140,4215,13,76,USA
DODGE CORONET BROUGHAM,16,8,318,150,4190,13,76,USA
AMC MATADOR,15.5,8,304,120,3962,13.9,76,USA
FORD GRAN TORINO,14.5,8,351,152,4215,12.8,76,USA
PLYMOUTH VALIANT,22,6,225,100,3233,15.4,76,USA
CHEVROLET NOVA,22,6,250,105,3353,14.5,76,USA
FORD MAVERICK,24,6,200,81,3012,17.6,76,USA
AMC HORNET,22.5,6,232,90,3085,17.6,76,USA
CHEVROLET CHEVETTE,29,4,85,52,2035,22.2,76,USA
CHEVROLET WOODY,24.5,4,98,60,2164,22.1,76,USA
VW RABBIT,29,4,90,70,1937,14.2,76,EUROPE
HONDA CIVIC,33,4,91,53,1795,17.4,76,JAPAN
DODGE ASPEN SE,20,6,225,100,3651,17.7,76,USA
FORD GRANADA GHIA,18,6,250,78,3574,21,76,USA
PONTIAC VENTURA SJ,18.5,6,250,110,3645,16.2,76,USA
AMC PACER D/L,17.5,6,258,95,3193,17.8,76,USA
VOLKSWAGEN RABBIT,29.5,4,97,71,1825,12.2,76,EUROPE
DATSUN B-210,32,4,85,70,1990,17,76,JAPAN
TOYOTA COROLLA,28,4,97,75,2155,16.4,76,JAPAN
FORD PINTO,26.5,4,140,72,2565,13.6,76,USA
VOLVO 245,20,4,130,102,3150,15.7,76,EUROPE
PLYMOUTH VOLARE PREMIER V8,13,8,318,150,3940,13.2,76,USA
PEUGEOT 504,19,4,120,88,3270,21.9,76,EUROPE
TOYOTA MARK II,19,6,156,108,2930,15.5,76,JAPAN
MERCEDES-BENZ 280S,16.5,6,168,120,3820,16.7,76,EUROPE
CADILLAC SEVILLE,16.5,8,350,180,4380,12.1,76,USA
CHEVY C10,13,8,350,145,4055,12,76,USA
FORD F108,13,8,302,130,3870,15,76,USA
DODGE D100,13,8,318,150,3755,14,76,USA
HONDA ACCORD CVCC,31.5,4,98,68,2045,18.5,77,JAPAN
BUICK OPEL ISUZU DELUXE,30,4,111,80,2155,14.8,77,USA
RENAULT 5 GTL,36,4,79,58,1825,18.6,77,EUROPE
PLYMOUTH ARROW GS,25.5,4,122,96,2300,15.5,77,USA
DATSUN F-10 HATCHBACK,33.5,4,85,70,1945,16.8,77,JAPAN
CHEVROLET CAPRICE CLASSIC,17.5,8,305,145,3880,12.5,77,USA
OLDSMOBILE CUTLASS SUPREME,17,8,260,110,4060,19,77,USA
DODGE MONACO BROUGHAM,15.5,8,318,145,4140,13.7,77,USA
MERCURY COUGAR BROUGHAM,15,8,302,130,4295,14.9,77,USA
CHEVROLET CONCOURS,17.5,6,250,110,3520,16.4,77,USA
BUICK SKYLARK,20.5,6,231,105,3425,16.9,77,USA
PLYMOUTH VOLARE CUSTOM,19,6,225,100,3630,17.7,77,USA
FORD GRANADA,18.5,6,250,98,3525,19,77,USA
PONTIAC GRAND PRIX LJ,16,8,400,180,4220,11.1,77,USA
CHEVROLET MONTE CARLO LANDAU,15.5,8,350,170,4165,11.4,77,USA
CHRYSLER CORDOBA,15.5,8,400,190,4325,12.2,77,USA
FORD THUNDERBIRD,16,8,351,149,4335,14.5,77,USA
VOLKSWAGEN RABBIT CUSTOM,29,4,97,78,1940,14.5,77,EUROPE
PONTIAC SUNBIRD COUPE,24.5,4,151,88,2740,16,77,USA
TOYOTA COROLLA LIFTBACK,26,4,97,75,2265,18.2,77,JAPAN
FORD MUSTANG II 2+2,25.5,4,140,89,2755,15.8,77,USA
CHEVROLET CHEVETTE,30.5,4,98,63,2051,17,77,USA
DODGE COLT M/M,33.5,4,98,83,2075,15.9,77,USA
SUBARU DL,30,4,97,67,1985,16.4,77,JAPAN
VOLKSWAGEN DASHER,30.5,4,97,78,2190,14.1,77,EUROPE
DATSUN 810,22,6,146,97,2815,14.5,77,JAPAN
BMW 320I,21.5,4,121,110,2600,12.8,77,EUROPE
MAZDA RX-4,21.5,3,80,110,2720,13.5,77,JAPAN
VOLKSWAGEN RABBIT CUSTOM DIESEL,43.1,4,90,48,1985,21.5,78,EUROPE
FORD FIESTA,36.1,4,98,66,1800,14.4,78,USA
MAZDA GLC DELUXE,32.8,4,78,52,1985,19.4,78,JAPAN
DATSUN B210 GX,39.4,4,85,70,2070,18.6,78,JAPAN
HONDA CIVIC CVCC,36.1,4,91,60,1800,16.4,78,JAPAN
OLDSMOBILE CUTLASS SALON BROUGHAM,19.9,8,260,110,3365,15.5,78,USA
DODGE DIPLOMAT,19.4,8,318,140,3735,13.2,78,USA
MERCURY MONARCH GHIA,20.2,8,302,139,3570,12.8,78,USA
PONTIAC PHOENIX LJ,19.2,6,231,105,3535,19.2,78,USA
CHEVROLET MALIBU,20.5,6,200,95,3155,18.2,78,USA
FORD FAIRMONT (AUTO),20.2,6,200,85,2965,15.8,78,USA
FORD FAIRMONT (MAN),25.1,4,140,88,2720,15.4,78,USA
PLYMOUTH VOLARE,20.5,6,225,100,3430,17.2,78,USA
AMC CONCORD,19.4,6,232,90,3210,17.2,78,USA
BUICK CENTURY SPECIAL,20.6,6,231,105,3380,15.8,78,USA
MERCURY ZEPHYR,20.8,6,200,85,3070,16.7,78,USA
DODGE ASPEN,18.6,6,225,110,3620,18.7,78,USA
AMC CONCORD D/L,18.1,6,258,120,3410,15.1,78,USA
CHEVROLET MONTE CARLO LANDAU,19.2,8,305,145,3425,13.2,78,USA
BUICK REGAL SPORT COUPE (TURBO),17.7,6,231,165,3445,13.4,78,USA
FORD FUTURA,18.1,8,302,139,3205,11.2,78,USA
DODGE MAGNUM XE,17.5,8,318,140,4080,13.7,78,USA
CHEVROLET CHEVETTE,30,4,98,68,2155,16.5,78,USA
TOYOTA CORONA,27.5,4,134,95,2560,14.2,78,JAPAN
DATSUN 510,27.2,4,119,97,2300,14.7,78,JAPAN
DODGE OMNI,30.9,4,105,75,2230,14.5,78,USA
TOYOTA CELICA GT LIFTBACK,21.1,4,134,95,2515,14.8,78,JAPAN
PLYMOUTH SAPPORO,23.2,4,156,105,2745,16.7,78,USA
OLDSMOBILE STARFIRE SX,23.8,4,151,85,2855,17.6,78,USA
DATSUN 200-SX,23.9,4,119,97,2405,14.9,78,JAPAN
AUDI 5000,20.3,5,131,103,2830,15.9,78,EUROPE
VOLVO 264GL,17,6,163,125,3140,13.6,78,EUROPE
SAAB 99GLE,21.6,4,121,115,2795,15.7,78,EUROPE
PEUGEOT 604SL,16.2,6,163,133,3410,15.8,78,EUROPE
VOLKSWAGEN SCIROCCO,31.5,4,89,71,1990,14.9,78,EUROPE
HONDA ACCORD LX,29.5,4,98,68,2135,16.6,78,JAPAN
PONTIAC LEMANS V6,21.5,6,231,115,3245,15.4,79,USA
MERCURY ZEPHYR 6,19.8,6,200,85,2990,18.2,79,USA
FORD FAIRMONT 4,22.3,4,140,88,2890,17.3,79,USA
AMC CONCORD DL 6,20.2,6,232,90,3265,18.2,79,USA
DODGE ASPEN 6,20.6,6,225,110,3360,16.6,79,USA
CHEVROLET CAPRICE CLASSIC,17,8,305,130,3840,15.4,79,USA
FORD LTD LANDAU,17.6,8,302,129,3725,13.4,79,USA
MERCURY GRAND MARQUIS,16.5,8,351,138,3955,13.2,79,USA
DODGE ST. REGIS,18.2,8,318,135,3830,15.2,79,USA
BUICK ESTATE WAGON (SW),16.9,8,350,155,4360,14.9,79,USA
FORD COUNTRY SQUIRE (SW),15.5,8,351,142,4054,14.3,79,USA
CHEVROLET MALIBU CLASSIC (SW),19.2,8,267,125,3605,15,79,USA
CHRYSLER LEBARON TOWN @ COUNTRY (SW),18.5,8,360,150,3940,13,79,USA
VW RABBIT CUSTOM,31.9,4,89,71,1925,14,79,EUROPE
MAXDA GLC DELUXE,34.1,4,86,65,1975,15.2,79,JAPAN
DODGE COLT HATCHBACK CUSTOM,35.7,4,98,80,1915,14.4,79,USA
AMC SPIRIT DL,27.4,4,121,80,2670,15,79,USA
MERCEDES BENZ 300D,25.4,5,183,77,3530,20.1,79,EUROPE
CADILLAC ELDORADO,23,8,350,125,3900,17.4,79,USA
PEUGEOT 504,27.2,4,141,71,3190,24.8,79,EUROPE
OLDSMOBILE CUTLASS SALON BROUGHAM,23.9,8,260,90,3420,22.2,79,USA
PLYMOUTH HORIZON,34.2,4,105,70,2200,13.2,79,USA
PLYMOUTH HORIZON TC3,34.5,4,105,70,2150,14.9,79,USA
DATSUN 210,31.8,4,85,65,2020,19.2,79,JAPAN
FIAT STRADA CUSTOM,37.3,4,91,69,2130,14.7,79,EUROPE
BUICK SKYLARK LIMITED,28.4,4,151,90,2670,16,79,USA
CHEVROLET CITATION,28.8,6,173,115,2595,11.3,79,USA
OLDSMOBILE OMEGA BROUGHAM,26.8,6,173,115,2700,12.9,79,USA
PONTIAC PHOENIX,33.5,4,151,90,2556,13.2,79,USA
VW RABBIT,41.5,4,98,76,2144,14.7,80,EUROPE
TOYOTA COROLLA TERCEL,38.1,4,89,60,1968,18.8,80,JAPAN
CHEVROLET CHEVETTE,32.1,4,98,70,2120,15.5,80,USA
DATSUN 310,37.2,4,86,65,2019,16.4,80,JAPAN
CHEVROLET CITATION,28,4,151,90,2678,16.5,80,USA
FORD FAIRMONT,26.4,4,140,88,2870,18.1,80,USA
AMC CONCORD,24.3,4,151,90,3003,20.1,80,USA
DODGE ASPEN,19.1,6,225,90,3381,18.7,80,USA
AUDI 4000,34.3,4,97,78,2188,15.8,80,EUROPE
TOYOTA CORONA LIFTBACK,29.8,4,134,90,2711,15.5,80,JAPAN
MAZDA 626,31.3,4,120,75,2542,17.5,80,JAPAN
DATSUN 510 HATCHBACK,37,4,119,92,2434,15,80,JAPAN
TOYOTA COROLLA,32.2,4,108,75,2265,15.2,80,JAPAN
MAZDA GLC,46.6,4,86,65,2110,17.9,80,JAPAN
DODGE COLT,27.9,4,156,105,2800,14.4,80,USA
DATSUN 210,40.8,4,85,65,2110,19.2,80,JAPAN
VW RABBIT C (DIESEL),44.3,4,90,48,2085,21.7,80,EUROPE
VW DASHER (DIESEL),43.4,4,90,48,2335,23.7,80,EUROPE
AUDI 5000S (DIESEL),36.4,5,121,67,2950,19.9,80,EUROPE
MERCEDES-BENZ 240D,30,4,146,67,3250,21.8,80,EUROPE
HONDA CIVIC 1500 GL,44.6,4,91,67,1850,13.8,80,JAPAN
RENAULT LECAR DELUXE,40.9,4,85,,1835,17.3,80,EUROPE
SUBARU DL,33.8,4,97,67,2145,18,80,JAPAN
VOKSWAGEN RABBIT,29.8,4,89,62,1845,15.3,80,EUROPE
DATSUN 280-ZX,32.7,6,168,132,2910,11.4,80,JAPAN
MAZDA RX-7 GS,23.7,3,70,100,2420,12.5,80,JAPAN
TRIUMPH TR7 COUPE,35,4,122,88,2500,15.1,80,EUROPE
FORD MUSTANG COBRA,23.6,4,140,,2905,14.3,80,USA
HONDA ACCORD,32.4,4,107,72,2290,17,80,JAPAN
PLYMOUTH RELIANT,27.2,4,135,84,2490,15.7,81,USA
BUICK SKYLARK,26.6,4,151,84,2635,16.4,81,USA
DODGE ARIES WAGON (SW),25.8,4,156,92,2620,14.4,81,USA
CHEVROLET CITATION,23.5,6,173,110,2725,12.6,81,USA
PLYMOUTH RELIANT,30,4,135,84,2385,12.9,81,USA
TOYOTA STARLET,39.1,4,79,58,1755,16.9,81,JAPAN
PLYMOUTH CHAMP,39,4,86,64,1875,16.4,81,USA
HONDA CIVIC 1300,35.1,4,81,60,1760,16.1,81,JAPAN
SUBARU,32.3,4,97,67,2065,17.8,81,JAPAN
DATSUN 210 MPG,37,4,85,65,1975,19.4,81,JAPAN
TOYOTA TERCEL,37.7,4,89,62,2050,17.3,81,JAPAN
MAZDA GLC 4,34.1,4,91,68,1985,16,81,JAPAN
PLYMOUTH HORIZON 4,34.7,4,105,63,2215,14.9,81,USA
FORD ESCORT 4W,34.4,4,98,65,2045,16.2,81,USA
FORD ESCORT 2H,29.9,4,98,65,2380,20.7,81,USA
VOLKSWAGEN JETTA,33,4,105,74,2190,14.2,81,EUROPE
RENAULT 18I,34.5,4,100,,2320,15.8,81,EUROPE
HONDA PRELUDE,33.7,4,107,75,2210,14.4,81,JAPAN
TOYOTA COROLLA,32.4,4,108,75,2350,16.8,81,JAPAN
DATSUN 200SX,32.9,4,119,100,2615,14.8,81,JAPAN
MAZDA 626,31.6,4,120,74,2635,18.3,81,JAPAN
PEUGEOT 505S TURBO DIESEL,28.1,4,141,80,3230,20.4,81,EUROPE
VOLVO DIESEL,30.7,6,145,76,3160,19.6,81,EUROPE
TOYOTA CRESSIDA,25.4,6,168,116,2900,12.6,81,JAPAN
DATSUN 810 MAXIMA,24.2,6,146,120,2930,13.8,81,JAPAN
BUICK CENTURY,22.4,6,231,110,3415,15.8,81,USA
OLDSMOBILE CUTLASS LS,26.6,8,350,105,3725,19,81,USA
FORD GRANADA GL,20.2,6,200,88,3060,17.1,81,USA
CHRYSLER LEBARON SALON,17.6,6,225,85,3465,16.6,81,USA
CHEVROLET CAVALIER,28,4,112,88,2605,19.6,82,USA
CHEVROLET CAVALIER WAGON,27,4,112,88,2640,18.6,82,USA
CHEVROLET CAVALIER 2-DOOR,34,4,112,88,2395,18,82,USA
PONTIAC J2000 SE HATCHBACK,31,4,112,85,2575,16.2,82,USA
DODGE ARIES SE,29,4,135,84,2525,16,82,USA
PONTIAC PHOENIX,27,4,151,90,2735,18,82,USA
FORD FAIRMONT FUTURA,24,4,140,92,2865,16.4,82,USA
AMC CONCORD DL,23,4,151,,3035,20.5,82,USA
VOLKSWAGEN RABBIT L,36,4,105,74,1980,15.3,82,EUROPE
MAZDA GLC CUSTOM L,37,4,91,68,2025,18.2,82,JAPAN
MAZDA GLC CUSTOM,31,4,91,68,1970,17.6,82,JAPAN
PLYMOUTH HORIZON MISER,38,4,105,63,2125,14.7,82,USA
MERCURY LYNX L,36,4,98,70,2125,17.3,82,USA
NISSAN STANZA XE,36,4,120,88,2160,14.5,82,JAPAN
HONDA ACCORD,36,4,107,75,2205,14.5,82,JAPAN
TOYOTA COROLLA,34,4,108,70,2245,16.9,82,JAPAN
HONDA CIVIC,38,4,91,67,1965,15,82,JAPAN
HONDA CIVIC (AUTO),32,4,91,67,1965,15.7,82,JAPAN
DATSUN 310 GX,38,4,91,67,1995,16.2,82,JAPAN
BUICK CENTURY LIMITED,25,6,181,110,2945,16.4,82,USA
OLDSMOBILE CUTLASS CIERA (DIESEL),38,6,262,85,3015,17,82,USA
CHRYSLER LEBARON MEDALLION,26,4,156,92,2585,14.5,82,USA
FORD GRANADA L,22,6,232,112,2835,14.7,82,USA
TOYOTA CELICA GT,32,4,144,96,2665,13.9,82,JAPAN
DODGE CHARGER 2.2,36,4,135,84,2370,13,82,USA
CHEVROLET CAMARO,27,4,151,90,2950,17.3,82,USA
FORD MUSTANG GL,27,4,140,86,2790,15.6,82,USA
VW PICKUP,44,4,97,52,2130,24.6,82,EUROPE
DODGE RAMPAGE,32,4,135,84,2295,11.6,82,USA
FORD RANGER,28,4,120,79,2625,18.6,82,USA
CHEVY S-10,31,4,119,82,2720,19.4,82,USA
